Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
'1503960366','3/25/2016',11004,7.1100001335,7.1100001335,0.0,2.5699999332,0.4600000083,4.0700001717,0.0,33,12,205,804,1819
'1503960366','3/26/2016',17609,11.5500001907,11.5500001907,0.0,6.9200000763,0.7300000191,3.9100000858,0.0,89,17,274,588,2154
'1503960366','3/27/2016',12736,8.529999733,8.529999733,0.0,4.6599998474,0.1599999964,3.7100000381,0.0,56,5,268,605,1944
'1503960366','3/28/2016',13231,8.9300003052,8.9300003052,0.0,3.1900000572,0.7900000215,4.9499998093,0.0,39,20,224,1080,1932
'1503960366','3/29/2016',12041,7.8499999046,7.8499999046,0.0,2.1600000858,1.0900000334,4.6100001335,0.0,28,28,243,763,1886
'1503960366','3/30/2016',10970,7.1599998474,7.1599998474,0.0,2.3599998951,0.5099999905,4.2899999619,0.0,30,13,223,1174,1820
'1503960366','3/31/2016',12256,7.8600001335,7.8600001335,0.0,2.2899999619,0.4900000095,5.0399999619,0.0,33,12,239,820,1889
'1503960366','4/1/2016',12262,7.8699998856,7.8699998856,0.0,3.3199999332,0.8299999833,3.6400001049,0.0,47,21,200,866,1868
'1503960366','4/2/2016',11248,7.25,7.25,0.0,3.0,0.4499999881,3.7400000095,0.0,40,11,244,636,1843
'1503960366','4/3/2016',10016,6.3699998856,6.3699998856,0.0,0.9100000262,1.2799999714,4.1799998283,0.0,15,30,314,655,1850
'1503960366','4/4/2016',14557,9.8000001907,9.8000001907,0.0,3.3900001049,0.6999999881,5.6900000572,0.0,43,18,285,757,2030
'1503960366','4/5/2016',14844,9.7299995422,9.7299995422,0.0,2.9400000572,0.7599999905,6.0399999619,0.0,36,18,341,736,2083
'1503960366','4/6/2016',11974,7.6700000763,7.6700000763,0.0,2.0399999619,0.4799999893,5.1500000954,0.0,27,12,228,1173,1861
'1503960366','4/7/2016',10198,6.4400000572,6.4400000572,0.0,1.2000000477,0.7900000215,4.4499998093,0.0,17,20,195,1208,1755
'1503960366','4/8/2016',12521,7.9400000572,7.9400000572,0.0,3.3099999428,0.8999999762,3.7400000095,0.0,46,22,212,1160,1895
'1503960366','4/9/2016',12432,8.1000003815,8.1000003815,0.0,2.5899999142,0.5899999738,4.9200000763,0.0,32,15,248,738,1883
'1503960366','4/10/2016',10057,6.9800000191,6.9800000191,0.0,4.0,0.4900000095,2.4800000191,0.0,44,13,168,737,1755
'1503960366','4/11/2016',10990,7.2600002289,7.2600002289,0.0,2.0399999619,0.5699999928,4.6500000954,0.0,26,14,216,855,1811
'1503960366','4/12/2016',224,0.1400000006,0.1400000006,0.0,0.0,0.0,0.1299999952,0.0,0,0,9,32,50
'1624580081','3/25/2016',1810,1.1799999475,1.1799999475,0.0,0.0,0.0,1.1299999952,0.0099999998,0,0,121,1319,1373
'1624580081','3/26/2016',815,0.5299999714,0.5299999714,0.0,0.0,0.0,0.5299999714,0.0,0,0,47,1393,1264
'1624580081','3/27/2016',1985,1.2899999619,1.2899999619,0.0,0.0,0.0,1.2799999714,0.0099999998,0,0,112,1328,1350
'1624580081','3/28/2016',1905,1.2400000095,1.2400000095,0.0,0.0,0.0,1.2400000095,0.0,0,0,95,1345,1342
'1624580081','3/29/2016',1552,1.0099999905,1.0099999905,0.0,0.0,0.0,1.0,0.0,0,0,66,1374,1300
'1624580081','3/30/2016',1675,1.0900000334,1.0900000334,0.0,0.0,0.0,1.0900000334,0.0,0,0,84,1356,1313
'1624580081','3/31/2016',4506,2.9300000668,2.9300000668,0.0,0.5099999905,0.2700000107,2.1500000954,0.0099999998,7,4,144,1285,1498
'1624580081','4/1/2016',9218,5.9899997711,5.9899997711,0.0,0.0,0.0,5.9699997902,0.0099999998,0,0,221,1219,1541
'1624580081','4/2/2016',1556,1.0099999905,1.0099999905,0.0,0.0,0.0,1.0099999905,0.0099999998,0,0,88,1352,1327
'1624580081','4/3/2016',2910,1.8899999857,1.8899999857,0.0,0.0,0.0,1.8799999952,0.0099999998,0,0,157,1283,1452
'1624580081','4/4/2016',18464,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0,0,270,1170,1574
'1624580081','4/5/2016',1335,0.8700000048,0.8700000048,0.0,0.0,0.0,0.8700000048,0.0,0,0,74,1366,1308
'1624580081','4/6/2016',1004,0.6499999762,0.6499999762,0.0,0.0,0.0,0.6499999762,0.0,0,0,55,1385,1276
'1624580081','4/7/2016',1111,0.7200000286,0.7200000286,0.0,0.0,0.0,0.7200000286,0.0,0,0,54,1386,1278
'1624580081','4/8/2016',6344,4.1199998856,4.1199998856,0.0,0.0,0.0,4.0999999046,0.0,0,0,143,1297,1409
